step,mloss,gloss,loss
20600.0,0.5984,0.3536,0.9520000000000001
20700.0,0.5984,0.3545,0.9529000000000001
20800.0,0.5987,0.3549,0.9536
20900.0,0.6009,0.3547,0.9556
21000.0,0.5972,0.3536,0.9508
21100.0,0.5987,0.3556,0.9543
21200.0,0.6015,0.3545,0.956
21300.0,0.5988,0.3548,0.9536
21400.0,0.5989,0.3546,0.9535
21500.0,0.597,0.3532,0.9501999999999999
21600.0,0.5937,0.3535,0.9472
21700.0,0.5927,0.3547,0.9474
21800.0,0.5968,0.3546,0.9514
21900.0,0.5948,0.3528,0.9476
22000.0,0.5919,0.3518,0.9437
22100.0,0.5918,0.3526,0.9444
22200.0,0.597,0.3533,0.9502999999999999
22300.0,0.595,0.3524,0.9474
22400.0,0.5902,0.3524,0.9425999999999999
22500.0,0.5907,0.3517,0.9424
22600.0,0.5885,0.3513,0.9398
22700.0,0.5979,0.3533,0.9512
22800.0,0.5888,0.3519,0.9407
22900.0,0.5987,0.3517,0.9504
23000.0,0.5924,0.3513,0.9437
23100.0,0.5896,0.3506,0.9402
23200.0,0.5953,0.3503,0.9456
23300.0,0.594,0.3501,0.9440999999999999
23400.0,0.59,0.3495,0.9395
23500.0,0.5885,0.3507,0.9392
23600.0,0.5886,0.35,0.9386
23700.0,0.5913,0.3514,0.9427000000000001
23800.0,0.5871,0.35,0.9370999999999999
23900.0,0.5872,0.3505,0.9377
24000.0,0.5889,0.3493,0.9381999999999999
24100.0,0.5855,0.3496,0.9351
24200.0,0.5855,0.3489,0.9344
24300.0,0.5913,0.3516,0.9429000000000001
24400.0,0.5885,0.3496,0.9381
24500.0,0.5887,0.3482,0.9369000000000001
24600.0,0.5861,0.3477,0.9338
24700.0,0.582,0.3478,0.9298
24800.0,0.5818,0.3481,0.9299
24900.0,0.5846,0.3484,0.933
25000.0,0.5809,0.3486,0.9295
25100.0,0.5822,0.3486,0.9308000000000001
25200.0,0.5835,0.348,0.9315
25300.0,0.5833,0.3481,0.9314
25400.0,0.5785,0.346,0.9245
25500.0,0.5856,0.3472,0.9328000000000001
25600.0,0.5801,0.3464,0.9264999999999999
25700.0,0.5843,0.3461,0.9304000000000001
25800.0,0.5849,0.3481,0.933
25900.0,0.582,0.3475,0.9295
26000.0,0.5836,0.3467,0.9303
26100.0,0.5851,0.3466,0.9317
26200.0,0.5815,0.3456,0.9271
26300.0,0.5826,0.3462,0.9288000000000001
26400.0,0.5796,0.3469,0.9265
26500.0,0.581,0.3462,0.9272
26600.0,0.5814,0.3451,0.9265000000000001
26700.0,0.5737,0.345,0.9187
26800.0,0.5804,0.3453,0.9257
26900.0,0.5768,0.3449,0.9217
27000.0,0.579,0.3442,0.9232
27100.0,0.5753,0.3442,0.9195
27200.0,0.5803,0.3441,0.9244000000000001
27300.0,0.5785,0.3444,0.9229
27400.0,0.5765,0.3442,0.9207000000000001
27500.0,0.5775,0.345,0.9225
27600.0,0.5797,0.3438,0.9235
27700.0,0.5785,0.3431,0.9216
27800.0,0.5771,0.3436,0.9207
27900.0,0.5758,0.3433,0.9191
28000.0,0.5776,0.343,0.9206000000000001
28100.0,0.5737,0.3426,0.9163
28200.0,0.578,0.3431,0.9211
28300.0,0.5744,0.3419,0.9163
28400.0,0.5788,0.3437,0.9225
28500.0,0.5729,0.3416,0.9145
28600.0,0.5716,0.3432,0.9148000000000001
28700.0,0.5779,0.343,0.9209
28800.0,0.5731,0.342,0.9151
28900.0,0.5781,0.3412,0.9193
29000.0,0.5767,0.3413,0.9179999999999999
29100.0,0.5773,0.3425,0.9198000000000001
29200.0,0.5777,0.3423,0.9199999999999999
29300.0,0.5747,0.3418,0.9165
29400.0,0.5712,0.3413,0.9125000000000001
29500.0,0.5758,0.3415,0.9173
29600.0,0.5724,0.3412,0.9136
29700.0,0.5724,0.342,0.9144000000000001
29800.0,0.5742,0.3409,0.9151
29900.0,0.577,0.3417,0.9187
30000.0,0.5763,0.3407,0.917
