iter	Passed	Remaining
854	2333	3125
855	2336	3122
856	2338	3119
857	2341	3116
858	2344	3114
859	2347	3111
860	2349	3108
861	2352	3106
862	2355	3102
863	2357	3099
864	2360	3097
865	2363	3095
866	2366	3092
867	2369	3089
868	2372	3087
869	2374	3084
870	2377	3082
871	2380	3079
872	2382	3075
873	2385	3073
874	2388	3070
875	2390	3067
876	2393	3064
877	2396	3062
878	2398	3059
879	2401	3056
880	2403	3053
881	2406	3050
882	2408	3046
883	2410	3043
884	2413	3040
885	2416	3037
886	2419	3035
887	2421	3032
888	2424	3030
889	2426	3026
890	2429	3024
891	2432	3021
892	2434	3018
893	2437	3015
894	2440	3012
895	2442	3009
896	2444	3005
897	2446	3002
898	2449	3000
899	2452	2997
900	2455	2995
901	2459	2993
902	2461	2990
903	2464	2987
904	2467	2985
905	2470	2983
906	2473	2981
907	2476	2978
908	2479	2976
909	2482	2973
910	2485	2971
911	2489	2970
912	2492	2967
913	2495	2965
914	2498	2962
915	2500	2958
916	2502	2955
917	2505	2953
918	2507	2949
919	2510	2946
920	2513	2944
921	2515	2941
922	2518	2938
923	2521	2936
924	2523	2932
925	2525	2929
926	2528	2926
927	2531	2924
928	2533	2921
929	2536	2918
930	2539	2916
931	2541	2912
932	2544	2909
933	2546	2906
934	2549	2903
935	2552	2901
936	2554	2898
937	2557	2895
938	2559	2892
939	2562	2890
940	2565	2887
941	2568	2885
942	2571	2882
943	2574	2880
944	2577	2877
945	2580	2874
946	2582	2872
947	2585	2869
948	2588	2866
949	2590	2863
950	2593	2860
951	2595	2857
952	2598	2854
953	2600	2851
954	2603	2848
955	2606	2846
956	2609	2843
957	2611	2841
958	2614	2838
959	2617	2835
960	2620	2833
961	2623	2830
962	2626	2828
963	2630	2826
964	2633	2824
965	2637	2822
966	2640	2820
967	2643	2818
968	2647	2816
969	2650	2814
970	2653	2812
971	2657	2810
972	2660	2808
973	2664	2806
974	2667	2804
975	2671	2803
976	2674	2800
977	2678	2799
978	2682	2797
979	2684	2794
980	2688	2792
981	2690	2789
982	2694	2787
983	2696	2784
984	2699	2782
985	2702	2779
986	2705	2776
987	2708	2774
988	2710	2770
989	2713	2767
990	2716	2765
991	2719	2762
992	2722	2760
993	2725	2758
994	2727	2755
995	2730	2752
996	2733	2749
997	2735	2746
998	2738	2744
999	2741	2741
1000	2744	2738
1001	2746	2735
1002	2749	2732
1003	2752	2730
1004	2754	2727
1005	2757	2724
1006	2760	2721
1007	2762	2719
1008	2765	2716
1009	2767	2712
1010	2769	2709
1011	2771	2706
1012	2774	2703
1013	2777	2700
1014	2780	2697
1015	2783	2695
1016	2785	2692
1017	2788	2689
1018	2790	2686
1019	2792	2683
1020	2795	2680
1021	2797	2676
1022	2800	2674
1023	2802	2671
1024	2805	2668
1025	2807	2665
1026	2810	2662
1027	2812	2659
1028	2815	2656
1029	2817	2653
1030	2820	2651
1031	2823	2648
1032	2826	2645
1033	2828	2642
1034	2830	2639
1035	2833	2636
1036	2835	2633
1037	2838	2630
1038	2841	2627
1039	2843	2624
1040	2846	2622
1041	2848	2618
1042	2851	2616
1043	2854	2613
1044	2856	2610
1045	2859	2608
